,Summons Number,Plate ID,Issue Date,Violation code,Violation Description,Registration State,Vehicle Make,Vehicle Expiration Date,Vehicle Color,alert
0,8002531292,EPC5238,10/01/2014,21,No Parking (street clean),NY,CHEVR,01/01/20150111 12:00:00 PM,BL,0
1,8015318440,5298MD,03/06/2015,14,No Standing,NY,FRUEH,01/01/88888888 12:00:00 PM,BROWN,0
2,7611181981,FYW2775,07/28/2014,46A,Double Parking (Non-COM),NY,SUBAR,01/01/20160524 12:00:00 PM,BLACK,0
3,7445908067,GWE1987,04/13/2015,19,No Stand (bus stop),NY,LEXUS,01/01/20170111 12:00:00 PM,GY,0
4,7037692864,T671196C,05/19/2015,19,No Stand (bus stop),NY,CHRYS,01/01/88888888 12:00:00 PM,BLACK,0
5,7704791394,JJF6834,11/20/2014,21,No Parking (street clean),PA,NISSA,01/01/20150688 12:00:00 PM,WHITE,0
6,7541599104,FYP8263,08/01/2014,21,No Parking (street clean),NY,HONDA,01/01/20160605 12:00:00 PM,BK,0
7,7443513951,FZL7450,07/19/2014,71A,Insp Sticker Expired (NYS),NY,VOLVO,01/01/20140927 12:00:00 PM,GR,0
8,7426321423,86318MA,09/23/2014,69,Failure to Disp Muni Recpt,NY,CHEVR,01/01/20150720 12:00:00 PM,WH,0
9,8017159560,GKX8095,01/20/2015,71A,Insp Sticker Expired (NYS),NY,LEXUS,01/01/20151207 12:00:00 PM,GREEN,0
10,8017159560,GKX8095,01/20/2015,71A,Insp Sticker Expired (NYS),NY,LEXUS,01/01/20151207 12:00:00 PM,GREEN,0
11,7002571382,CXT8949,02/17/2015,20A,No Parking (Non-COM),TX,MAZDA,01/01/88880088 12:00:00 PM,WHITE,0
12,7939966900,GSR4914,05/05/2015,20A,No Parking (Non-COM),NY,DODGE,01/01/20160911 12:00:00 PM,SILVE,0
13,7704167637,XBVP75,10/21/2014,16,No Std (Com Veh) Com Plate,NJ,FORD,01/01/20140088 12:00:00 PM,WHITE,0
14,7095480941,AP515N,08/21/2014,85,Storage-3 hour Commercial,NJ,FRUEH,01/01/88888888 12:00:00 PM,WHITE,0
15,7831181295,16238TC,08/07/2014,14,No Standing,NY,PETER,01/01/20150430 12:00:00 PM,BLUE,0
16,8007006229,122YEZ,08/26/2014,21,No Parking (street clean),CT,NISSA,01/01/20140088 12:00:00 PM,TAN,0
17,1369109532,65920JW,06/23/2014,,,NY,MERCU,01/01/20141031 12:00:00 PM,BROWN,0
18,7580650400,GBU2135,09/24/2014,71A,Insp Sticker Expired (NYS),NY,HONDA,01/01/20160816 12:00:00 PM,WH,0
19,7420795630,6AJWV5,10/04/2014,37,Expired Muni Meter,CT,FORD,01/01/88880088 12:00:00 PM,BLACK,0
20,1379105602,GDL7305,01/21/2015,,,NY,TOYOT,01/01/20150105 12:00:00 PM,GRAY,0
21,7054223901,58359MD,03/26/2015,42,Exp. Muni-Mtr (Com. Mtr. Z),NY,FORD,01/01/20150831 12:00:00 PM,BL,0
22,8011213386,60304MD,10/06/2014,46B,Double Parking (Com-100Ft),NY,FRUEH,01/01/88888888 12:00:00 PM,BROWN,0
23,7997989572,GJP9663,01/24/2015,20A,No Parking (Non-COM),NY,NISSA,01/01/20151029 12:00:00 PM,BK,0
24,7997989572,GJP9663,01/24/2015,20A,No Parking (Non-COM),NY,NISSA,01/01/20151029 12:00:00 PM,BK,0
25,7097098715,G78DLL,03/11/2015,38,Failure to Display Muni Rec,NJ,BMW,01/01/88888888 12:00:00 PM,GREY,0
26,7787591079,GKP6078,11/19/2014,20A,No Parking (Non-COM),NY,CHRYS,01/01/20151126 12:00:00 PM,GL,0
27,8023905028,GAR6688,02/24/2015,20A,No Parking (Non-COM),NY,MAZDA,01/01/20161108 12:00:00 PM,TN,0
28,1369992300,1545236,08/20/2014,,,ME,,01/01/20150228 12:00:00 PM,SILVE,0
29,7359154236,M80ANH,11/14/2014,37,Expired Muni Meter,NJ,ACURA,01/01/88888888 12:00:00 PM,RED,0
30,7950697490,25X944,12/23/2014,46B,Double Parking (Com-100Ft),OK,INTER,01/01/20140088 12:00:00 PM,WHITE,0
31,1371360765,36913MA,09/15/2014,,,NY,HINO,01/01/20150630 12:00:00 PM,WHITE,0
32,8035700765,GKB7155,06/09/2015,21,No Parking (street clean),NY,CHRYS,01/01/20160224 12:00:00 PM,BR,0
33,7766334392,CJP1169,09/05/2014,37,Expired Muni Meter,NY,NISSA,01/01/20150325 12:00:00 PM,BLACK,0
34,7744281500,EYB8055,12/18/2014,21,No Parking (street clean),NY,TOYOT,01/01/20160402 12:00:00 PM,GY,0
35,8021902164,96313JE,04/07/2015,46B,Double Parking (Com-100Ft),NY,ISUZU,01/01/20151231 12:00:00 PM,WH,0
36,7579558312,60154JZ,09/11/2014,89,No Stand Exc Com Plate,NY,CHEVR,01/01/20160331 12:00:00 PM,WH,0
37,7006621586,FFE3632,08/12/2014,38,Failure to Display Muni Rec,NY,TOYOT,01/01/88888888 12:00:00 PM,BROWN,0
38,7567693926,GSM7092,07/14/2014,21,No Parking (street clean),NY,HONDA,01/01/20140818 12:00:00 PM,BLACK,0
39,8013576309,44189JW,01/21/2015,71A,Insp Sticker Expired (NYS),NY,FORD,01/01/20150131 12:00:00 PM,WH,0
40,8013576309,44189JW,01/21/2015,71A,Insp Sticker Expired (NYS),NY,FORD,01/01/20150131 12:00:00 PM,WH,0
41,7540622817,G98BVF,09/09/2014,37,Expired Muni Meter,NJ,DODGE,01/01/88888888 12:00:00 PM,SILVE,0
42,7468795666,33451MB,05/26/2015,21,No Parking (street clean),NY,FORD,01/01/20161024 12:00:00 PM,RED,0
43,7665067440,JFS9782,11/29/2014,38,Failure to Display Muni Rec,PA,AUDI,01/01/20150188 12:00:00 PM,WHITE,0
44,7236306897,18846MC,07/31/2014,14,No Standing,NY,NS/OT,01/01/20150430 12:00:00 PM,WHITE,0
45,7553907455,W73DRS,01/12/2015,21,No Parking (street clean),NJ,NISSA,01/01/88888888 12:00:00 PM,TAN,0
46,7553907455,W73DRS,01/12/2015,21,No Parking (street clean),NJ,NISSA,01/01/88888888 12:00:00 PM,TAN,0
47,7557194007,CME3770,12/11/2014,71A,Insp Sticker Expired (NYS),NY,SUBAR,01/01/20150604 12:00:00 PM,GY,0
48,7166745757,GEB3048,08/25/2014,38,Failure to Display Muni Rec,NY,HYUND,01/01/20150114 12:00:00 PM,GY,0
49,8005280350,55065MB,11/24/2014,69,Failure to Disp Muni Recpt,NY,WORKH,01/01/88888888 12:00:00 PM,BROWN,0
50,7758777260,GLY1430,01/03/2015,14,No Standing,NY,TOYOT,01/01/20160309 12:00:00 PM,GY,0
51,7758777260,GLY1430,01/03/2015,14,No Standing,NY,TOYOT,01/01/20160309 12:00:00 PM,GY,0
52,7846676386,75455MC,07/28/2014,42,Exp. Muni-Mtr (Com. Mtr. Z),NY,MITSU,01/01/20151231 12:00:00 PM,WH,0
53,7576361815,EDT9406,01/21/2015,71A,Insp Sticker Expired (NYS),NY,PORSC,01/01/20151023 12:00:00 PM,BLACK,0
54,7576361815,EDT9406,01/21/2015,71A,Insp Sticker Expired (NYS),NY,PORSC,01/01/20151023 12:00:00 PM,BLACK,0
55,8035751074,GXM6310,05/30/2015,37,Expired Muni Meter,NY,SUBAR,01/01/20170507 12:00:00 PM,BK,0
56,7055049702,XU399F,05/09/2015,14,No Standing,NJ,UD,01/01/88880088 12:00:00 PM,SILVE,0
57,7715539594,62417JM,10/29/2014,20,No Parking (Com Plate),NY,INTER,01/01/88888888 12:00:00 PM,BROWN,0
58,8017257454,GRD8338,12/05/2014,21,No Parking (street clean),NY,HONDA,01/01/20160521 12:00:00 PM,GY,0
59,7799971009,FPJ1465,08/28/2014,38,Failure to Display Muni Rec,NY,LEXUS,01/01/20150811 12:00:00 PM,LTG,0
60,8024714814,GVJ6924,05/12/2015,21,No Parking (street clean),NY,NISSA,01/01/20170104 12:00:00 PM,GY,0
61,8018677712,T653918C,05/21/2015,21,No Parking (street clean),NY,TOYOT,01/01/20150731 12:00:00 PM,WH,0
62,7578730459,GKZ9055,11/21/2014,21,No Parking (street clean),NY,ACURA,01/01/20160101 12:00:00 PM,WH,0
63,7793554656,81091MB,09/09/2014,37,Expired Muni Meter,NY,NS/OT,01/01/20160104 12:00:00 PM,GREEN,0
64,1375236910,GJS5597,09/23/2014,,,NY,HONDA,01/01/20150807 12:00:00 PM,BK,0
65,7211165765,ETU5293,11/04/2014,38,Failure to Display Muni Rec,NY,LEXUS,01/01/20150812 12:00:00 PM,BK,0
66,8018711094,EWT8528,05/28/2015,37,Expired Muni Meter,NY,HONDA,01/01/20160222 12:00:00 PM,GY,0
67,1367471345,GSE2596,08/09/2014,,,NY,TOYOT,01/01/20160729 12:00:00 PM,WH,0
68,7006635950,GMW4217,04/02/2015,71A,Insp Sticker Expired (NYS),NY,ME/BE,01/01/20160307 12:00:00 PM,BLACK,0
69,7012261912,87628MC,12/19/2014,40,Fire Hydrant,NY,INTER,01/01/20150228 12:00:00 PM,RD,0
70,8007021619,DT50359,12/19/2014,21,No Parking (street clean),AL,ME/BE,01/01/20151188 12:00:00 PM,BLACK,0
71,7988181105,DLM5398,12/05/2014,21,No Parking (street clean),NY,HONDA,01/01/20151124 12:00:00 PM,WH,0
72,7985378662,AP580Z,11/18/2014,84,Platform lifts in low posit,NJ,FRUEH,01/01/88888888 12:00:00 PM,WHITE,0
73,7565529965,81651JN,07/23/2014,48,Bike Lane,NY,INTER,01/01/20141130 12:00:00 PM,WHITE,0
74,7969133666,FYK4168,11/24/2014,38,Failure to Display Muni Rec,NY,TOYOT,01/01/20160320 12:00:00 PM,WH,0
75,7715546963,AM871N,12/24/2014,14,No Standing,NJ,INTER,01/01/88888888 12:00:00 PM,GREEN,0
76,7811447563,C88DJT,08/30/2014,20A,No Parking (Non-COM),NJ,NISSA,01/01/88888888 12:00:00 PM,BLACK,0
