,Issue Date,Plate ID,Registration State,Summons Number,Vehicle Color,Vehicle Expiration Date,Vehicle Make,Violation Description,Violation code,alert,id_drone
0,2014-06-23,65920JW,NY,1369109532.0,BROWN,2014-01-01 00:00:00,MERCU,,,0.0,17.0
1,2014-06-26,FLL6751,NY,7094378518.0,GREY,2015-01-01 00:00:00,ACURA,No Parking (street clean),21,0.0,100.0
2,2014-06-28,28665PC,NY,7897987036.0,RED,2015-01-01 00:00:00,FRUEH,No Stand (bus stop),19,0.0,108.0
3,2014-06-22,FZB9094,NY,1371150187.0,SLVR,2014-01-01 00:00:00,INFIN,,,0.0,192.0
4,2014-06-28,AYW5237,NY,7695571120.0,MR,2016-01-01 00:00:00,JEEP,Failure to Display Muni Rec,38,0.0,375.0
5,2014-06-28,GAM3051,NY,8005950810.0,GR,2014-01-01 00:00:00,TOYOT,Reg. Sticker Expired (NYS),70A,0.0,652.0
6,2014-06-25,GEL1703,NY,1333734517.0,BLACK,2014-01-01 00:00:00,NISSA,,,0.0,718.0
7,2014-06-28,GHP1214,NY,7684702221.0,WH,2015-01-01 00:00:00,ACURA,Failure to Display Muni Rec,38,0.0,737.0
8,2014-06-26,AP992J,NJ,7899884214.0,WHITE,8888-01-01 00:00:00,FRUEH,No Standing,14,0.0,1016.0
9,2014-06-26,25064JY,NY,7977580860.0,OR,2014-01-01 00:00:00,FORD,No Standing,14,0.0,1104.0
10,2014-06-26,FWR4535,NY,7093060808.0,WH,2016-01-01 00:00:00,JEEP,Expired Muni Meter,37,0.0,1276.0
11,2014-06-17,DNE9859,NY,1366866708.0,GY,2014-01-01 00:00:00,TOYOT,,,0.0,1297.0
12,2014-06-29,899XK2,MA,7407867203.0,GREY,2016-01-01 00:00:00,FORD,No Stand (exc auth veh),17,0.0,1320.0
13,2014-06-26,FCY7979,NY,7137193833.0,SILVE,2016-01-01 00:00:00,CHEVR,No Parking (street clean),21,0.0,1496.0
14,2014-06-27,63133JM,NY,7840360944.0,BROWN,8888-01-01 00:00:00,GMC,Double PKG-Midtown,47,0.0,1538.0
15,2014-06-24,GKW7344,NY,1370536434.0,RED,2015-01-01 00:00:00,TOYOT,,,0.0,1608.0
16,2014-06-27,60077JR,NY,7938717680.0,BROWN,8888-01-01 00:00:00,FORD,Failure to Display Muni Rec,38,0.0,1701.0
17,2014-06-27,FYX5004,NY,7007354063.0,BLACK,2014-01-01 00:00:00,ME/BE,No Parking (street clean),21,0.0,1818.0
