,Issue Date,Plate ID,Registration State,Summons Number,Vehicle Color,Vehicle Expiration Date,Vehicle Make,Violation Description,Violation code,alert,id_drone
0,2014-08-01,FYP8263,NY,7541599104.0,BK,2016-01-01 00:00:00,HONDA,No Parking (street clean),21.0,0.0,6.0
1,2014-08-21,AP515N,NJ,7095480941.0,WHITE,8888-01-01 00:00:00,FRUEH,Storage-3 hour Commercial,85.0,0.0,14.0
2,2014-08-07,16238TC,NY,7831181295.0,BLUE,2015-01-01 00:00:00,PETER,No Standing,14.0,0.0,15.0
3,2014-08-26,122YEZ,CT,8007006229.0,TAN,2014-01-01 00:00:00,NISSA,No Parking (street clean),21.0,0.0,16.0
4,2014-08-20,1545236,ME,1369992300.0,SILVE,2015-01-01 00:00:00,,,,0.0,28.0
5,2014-08-12,FFE3632,NY,7006621586.0,BROWN,8888-01-01 00:00:00,TOYOT,Failure to Display Muni Rec,38,0.0,37.0
6,2014-08-25,GEB3048,NY,7166745757.0,GY,2015-01-01 00:00:00,HYUND,Failure to Display Muni Rec,38,0.0,48.0
7,2014-08-28,FPJ1465,NY,7799971009.0,LTG,2015-01-01 00:00:00,LEXUS,Failure to Display Muni Rec,38,0.0,59.0
8,2014-08-09,GSE2596,NY,1367471345.0,WH,2016-01-01 00:00:00,TOYOT,,,0.0,67.0
9,2014-08-30,C88DJT,NJ,7811447563.0,BLACK,8888-01-01 00:00:00,NISSA,No Parking (Non-COM),20A,0.0,76.0
10,2014-08-28,DTJ1619,NY,7982623451.0,WHITE,2015-01-01 00:00:00,TOYOT,Failure to Display Muni Rec,38,0.0,80.0
11,2014-08-13,91414MD,NY,7831182380.0,WH,2015-01-01 00:00:00,INTER,Failure to Disp Muni Recpt,69,0.0,84.0
12,2014-08-29,FMT2474,NY,7753938370.0,GR,2015-01-01 00:00:00,TOYOT,No Stand (bus stop),19,0.0,87.0
13,2014-08-05,HLN3387,PA,7999196228.0,SILVE,2015-01-01 00:00:00,HONDA,No Parking (street clean),21,0.0,88.0
14,2014-08-09,GEW9636,NY,1371485276.0,BLUE,2016-01-01 00:00:00,DODGE,,,0.0,103.0
15,2014-08-14,ACT4918,NC,7163117346.0,BLACK,2015-01-01 00:00:00,FORD,No Parking (Non-COM),20A,0.0,121.0
16,2014-08-03,EXP7988,NY,7335198197.0,BK,2016-01-01 00:00:00,DODGE,No Parking (Non-COM),20A,0.0,131.0
17,2014-08-14,RSR547,MA,7299969592.0,GREEN,2016-01-01 00:00:00,SUBAR,Double Parking (Non-COM),46A,0.0,133.0
18,2014-08-01,9AHPJ9,CT,7911129988.0,LAVEN,8888-01-01 00:00:00,JEEP,No Stand (Com. Mtr. Zone),31,0.0,134.0
19,2014-08-01,GFM3768,NY,1373825571.0,BL,2015-01-01 00:00:00,BMW,,,0.0,135.0
20,2014-08-29,63443JM,NY,7978661817.0,BROWN,8888-01-01 00:00:00,INTER,Failure to Display Muni Rec,38,0.0,154.0
21,2014-08-31,88920MB,NY,7895959736.0,BK,2014-01-01 00:00:00,FRUEH,Double Parking (Com-100Ft),46B,0.0,159.0
22,2014-08-12,54799JG,NY,7044490499.0,WH,2015-01-01 00:00:00,FORD,No Stand (bus lane),18,0.0,161.0
23,2014-08-12,GFW9912,NY,7564374019.0,GREY,2015-01-01 00:00:00,MAZDA,No Parking (Non-COM),20A,0.0,162.0
24,2014-08-20,EMK4073,NY,8011803694.0,BK,2014-01-01 00:00:00,ROVER,No Parking (street clean),21,0.0,187.0
25,2014-08-14,T624605C,NY,8006959262.0,BK,2014-01-01 00:00:00,TOYOT,No Parking (street clean),21,0.0,195.0
26,2014-08-20,91445JV,NY,7434322792.0,BROWN,8888-01-01 00:00:00,FRUEH,No Stand (bus stop),19,0.0,227.0
27,2014-08-27,1AW4786,MD,7381022977.0,GREEN,2016-01-01 00:00:00,TOYOT,No Parking (street clean),21,0.0,264.0
28,2014-08-18,20241JV,99,1372675024.0,YELL,2015-01-01 00:00:00,FORD,,,0.0,270.0
29,2014-08-12,96130MB,NY,7989031991.0,WHITE,8888-01-01 00:00:00,CHEVR,Failure to Display Muni Rec,38,0.0,300.0
30,2014-08-07,GMV6261,NY,7591237123.0,BL,2016-01-01 00:00:00,TOYOT,No Stand (exc auth veh),17,0.0,319.0
31,2014-08-30,363DDB,NY,8008006821.0,WH,2016-01-01 00:00:00,FORD,Failure to Display Muni Rec,38,0.0,321.0
32,2014-08-23,8135824,NY,7744238217.0,BLACK,2016-01-01 00:00:00,ACURA,Failure to Display Muni Rec,38,0.0,348.0
33,2014-08-19,ESW6983,NY,7766951332.0,WH,2015-01-01 00:00:00,NISSA,Insp Sticker Expired (NYS),71A,0.0,356.0
34,2014-08-16,6CC359,CT,7791578517.0,WHITE,8888-01-01 00:00:00,TOYOT,Failure to Display Muni Rec,38,0.0,362.0
35,2014-08-02,GAM9760,NY,1367765997.0,TAN,2014-01-01 00:00:00,MERCU,,,0.0,377.0
36,2014-08-10,FYT8000,NY,1354378428.0,BK,2016-01-01 00:00:00,DODGE,,,0.0,385.0
37,2014-08-19,67730MC,NY,7947561310.0,WHITE,2014-01-01 00:00:00,INTER,Sidewalk,51,0.0,389.0
38,2014-08-08,2SW871,OK,7032942489.0,WHITE,8888-01-01 00:00:00,INTER,Platform lifts in low posit,84,0.0,390.0
39,2014-08-28,FRZ7925,NY,8005013929.0,BK,2015-01-01 00:00:00,JEEP,Failure to Display Muni Rec,38,0.0,394.0
40,2014-08-15,FDY2316,NY,7099083820.0,BLACK,2014-01-01 00:00:00,HONDA,Reg. Sticker Expired (NYS),70A,0.0,402.0
41,2014-08-02,GPT5690,NY,7128344275.0,RED,8888-01-01 00:00:00,CHEVR,Reg. Sticker Missing (NYS),70,0.0,414.0
42,2014-08-01,93832JZ,NY,7057886445.0,WHITE,8888-01-01 00:00:00,GMC,No Parking (street clean),21,0.0,439.0
43,2014-08-19,FZF6631,NY,7351918648.0,BR,2016-01-01 00:00:00,CHEVR,Insp Sticker Expired (NYS),71A,0.0,472.0
44,2014-08-05,U29CBL,NJ,7650717033.0,WHITE,8888-01-01 00:00:00,DODGE,Expired Muni Meter,37,0.0,474.0
45,2014-08-29,11584JY,NY,7098881533.0,WHITE,8888-01-01 00:00:00,CHEVR,No Parking (street clean),21,0.0,501.0
46,2014-08-18,41115MC,NY,7097788276.0,WHITE,8888-01-01 00:00:00,FORD,Failure to Display Muni Rec,38,0.0,503.0
47,2014-08-23,ZCX9987,PA,7137897915.0,RED,2015-01-01 00:00:00,CHEVR,Failure to Display Muni Rec,38,0.0,540.0
48,2014-08-07,GNY1798,NY,1345688945.0,GRAY,2015-01-01 00:00:00,MITSU,,,0.0,542.0
49,2014-08-07,FCM6228,NY,8009451897.0,BK,2016-01-01 00:00:00,HONDA,No Parking (street clean),21,0.0,547.0
50,2014-08-31,DGH7315,NY,1358782891.0,GREEN,2015-01-01 00:00:00,LINCO,,,0.0,548.0
51,2014-08-19,FYW6747,NY,7690732641.0,SILVE,2014-01-01 00:00:00,CHRYS,No Parking (street clean),21,0.0,556.0
52,2014-08-14,FSW4012,NY,8005105046.0,GY,2015-01-01 00:00:00,SATUR,No Parking (street clean),21,0.0,567.0
53,2014-08-21,FSZ8833,NY,7003006893.0,GY,2016-01-01 00:00:00,HONDA,No Parking (Non-COM),20A,0.0,572.0
54,2014-08-11,112PEP,FL,7331582744.0,GREY,2015-01-01 00:00:00,HONDA,No Parking (street clean),21,0.0,581.0
55,2014-08-14,FYD7327,NY,7167955310.0,BK,2016-01-01 00:00:00,BMW,Insp Sticker Expired (NYS),71A,0.0,589.0
56,2014-08-08,FMP2096,NY,7399088615.0,SILVE,2015-01-01 00:00:00,BMW,Insp Sticker Expired (NYS),71A,0.0,592.0
57,2014-08-16,GRZ6006,NY,7382285571.0,BK,2016-01-01 00:00:00,TOYOT,No Parking (Non-COM),20A,0.0,610.0
58,2014-08-15,53269JT,NY,7998352978.0,WH,2015-01-01 00:00:00,FORD,No Std (Com Veh) Com Plate,16,0.0,616.0
59,2014-08-08,GMS3249,NY,7727165980.0,WH,2016-01-01 00:00:00,CHEVR,No Parking (street clean),21,0.0,633.0
60,2014-08-05,GCG1788,NY,7237129661.0,WH,2014-01-01 00:00:00,TOYOT,Failure to Display Muni Rec,38,0.0,636.0
61,2014-08-05,DZA1641,NY,7219324935.0,GR,2015-01-01 00:00:00,MERCU,Expired Muni Meter,37,0.0,643.0
62,2014-08-27,38456JU,NY,7086120212.0,WHITE,2015-01-01 00:00:00,FORD,No Std (Com Veh) Com Plate,16,0.0,647.0
63,2014-08-13,13669MD,NY,7345439136.0,RED,2015-01-01 00:00:00,NS/OT,No Standing,14,0.0,674.0
64,2014-08-18,15713TT,NY,7633541416.0,WH,2015-01-01 00:00:00,DODGE,No Standing,14,0.0,689.0
65,2014-08-04,GBE2816,NY,7576664162.0,BK,2016-01-01 00:00:00,HONDA,No Parking (street clean),21,0.0,692.0
66,2014-08-09,GHS2424,NY,1372349984.0,BLACK,2015-01-01 00:00:00,TOYOT,,,0.0,706.0
67,2014-08-17,DSC4295,NY,7807446766.0,BLUE,2016-01-01 00:00:00,HONDA,Impropr Dsply of Reg (NYS),70B,0.0,733.0
68,2014-08-22,ESL9218,NY,7237133718.0,BK,2015-01-01 00:00:00,HONDA,Failure to Display Muni Rec,38,0.0,734.0
69,2014-08-23,297EA1,MA,7085768563.0,GREY,2015-01-01 00:00:00,LEXUS,Failure to Display Muni Rec,38,0.0,741.0
70,2014-08-01,GGS7130,NY,7653994830.0,BK,2015-01-01 00:00:00,LINCO,Insp Sticker Expired (NYS),71A,0.0,768.0
71,2014-08-22,W22EHS,NJ,7757132162.0,BLUE,8888-01-01 00:00:00,CHRYS,No Parking (street clean),21,0.0,779.0
72,2014-08-13,FBC6904,NY,8007407236.0,TN,2016-01-01 00:00:00,CHEVR,Insp Sticker Expired (NYS),71A,0.0,803.0
73,2014-08-08,GRU2120,NY,7174307954.0,SILVE,2014-01-01 00:00:00,NISSA,Double Parking (Non-COM),46A,0.0,823.0
74,2014-08-29,82008,MA,7686328582.0,WHITE,2015-01-01 00:00:00,FRUEH,No Standing,14,1.0,824.0
75,2014-08-29,AEX1857,NY,7699103774.0,GY,2015-01-01 00:00:00,BUICK,No Parking (street clean),21,0.0,828.0
76,2014-08-07,T640631C,NY,1378201589.0,BLK,2015-01-01 00:00:00,TOYOT,,,0.0,833.0
77,2014-08-09,GKK9035,NY,7462748976.0,BLACK,2015-01-01 00:00:00,HONDA,Insp Sticker Expired (NYS),71A,0.0,868.0
78,2014-08-11,GPN6849,NY,7685065708.0,GY,2016-01-01 00:00:00,NISSA,No Parking (street clean),21,0.0,885.0
79,2014-08-14,GHG3137,NY,7210716129.0,GY,2015-01-01 00:00:00,NISSA,Expired Muni Meter,37,0.0,910.0
80,2014-08-26,EWY4873,NY,8000292464.0,GY,2016-01-01 00:00:00,TOYOT,No Parking (street clean),21,0.0,923.0
81,2014-08-23,ENK5874,NY,1370584260.0,BLACK,2015-01-01 00:00:00,SUBAR,,,0.0,924.0
82,2014-08-05,EKG9529,NY,7721129709.0,GY,2016-01-01 00:00:00,ACURA,Crosswalk,50,0.0,925.0
83,2014-08-05,GJY9856,NY,8007003575.0,BK,2015-01-01 00:00:00,TOYOT,No Parking (street clean),21,0.0,999.0
84,2014-08-08,AP224B,NJ,7833139592.0,RED,8888-01-01 00:00:00,FRUEH,Platform lifts in low posit,84,0.0,1013.0
85,2014-08-17,RYA83U,NJ,8011801880.0,BLUE,8888-01-01 00:00:00,LEXUS,Fire Hydrant,40,0.0,1050.0
86,2014-08-04,GJR9539,NY,8004710281.0,GR,2015-01-01 00:00:00,GMC,Double Parking (Non-COM),46A,0.0,1051.0
